Date,SubDivision,GangId,OrderNumber,OperationNumber,TrackId,MegaWorkBlock,ShadowWorkBlock,SplitWorkBlock,WBMileFrom,WBMileTo,AnchorPattern,SpikePattern,CwrTerritory,DestressingMethod,ClosureType,NumberofInsulatedJoints,NumberofTransitionRails,NumberofCompromiseRails,FastenerTypeTie,PlateChangeOutRequired,RailType,TravelTimeDuringBlocks,ActualStartTime,ActualEndTime,NumberofTampers,ExpectedOutput,ConfidenceLevel,Version,workBlockPlannedMinutes
00:00.0,WAINWRIGHT,W50P0R07,NULL,310,1,Yes,Yes,Yes,153.2599945,155.8300018,Pattern 10,B,No,NONE,NULL,0,2,0,NA,Yes,New,20,NULL,NULL,NULL,2572,72,1,500
00:00.0,WAINWRIGHT,W50P0R05,NULL,310,1,Yes,Yes,Yes,181.0399933,181.3999939,Pattern 10,B,No,NONE,NULL,1,0,0,NA,Yes,New,0,NULL,NULL,NULL,2317,72,1,600
00:00.0,WAINWRIGHT,W50P0R05,NULL,310,1,Yes,Yes,Yes,180.1399994,181.3999939,Pattern 10,B,No,NONE,NULL,1,0,0,NA,Yes,New,0,NULL,NULL,NULL,661,72,1,1
00:00.0,WAINWRIGHT,W50P0R03,NULL,310,1,Yes,Yes,Yes,179.5899963,180.5,Pattern 10,B,No,PULLERS,NULL,0,1,0,NA,Yes,New,0,NULL,NULL,NULL,4251,72,1,600
00:00.0,WAINWRIGHT,W50P0R05,NULL,310,1,Yes,Yes,Yes,181.0399933,181.3999939,Pattern 10,B,No,NONE,NULL,0,0,0,NA,Yes,New,0,NULL,NULL,NULL,2314,72,1,600
00:00.0,WAINWRIGHT,W50P0R05,NULL,310,1,Yes,Yes,Yes,180.1399994,181.3999939,Pattern 10,B,No,NONE,NULL,0,0,0,NA,Yes,New,0,NULL,NULL,NULL,660,72,1,1
00:00.0,WESTLOCK,W50P0R08,NULL,310,1,No,No,Yes,81.77999878,82.58000183,Pattern 10,A,No,HEATERS,NULL,0,0,0,NA,Yes,New,0,NULL,NULL,NULL,4038,72,1,480
00:00.0,WAINWRIGHT,W50P0R03,NULL,310,1,Yes,Yes,Yes,158.7899933,160.6499939,Pattern 10,B,No,PULLERS,NULL,0,2,0,NA,Yes,New,0,NULL,NULL,NULL,3041,72,1,600
00:00.0,WAINWRIGHT,W50P0R03,NULL,310,1,Yes,Yes,Yes,158.7899933,160.6499939,Pattern 10,B,No,PULLERS,NULL,1,1,0,NA,Yes,New,0,NULL,NULL,NULL,3051,72,1,600
00:00.0,WAINWRIGHT,W50P0R08,NULL,310,1,Yes,Yes,Yes,155.8699951,157,Pattern 10,B,No,NONE,NULL,0,1,0,NA,Yes,New,0,NULL,NULL,NULL,3540,72,1,300
00:00.0,WAINWRIGHT,W50P0R08,NULL,310,1,Yes,Yes,Yes,155.8699951,157,Pattern 10,B,No,NONE,NULL,0,0,0,NA,Yes,New,0,NULL,NULL,NULL,3793,72,1,300
00:00.0,WAINWRIGHT,W50P0R08,NULL,310,1,Yes,Yes,Yes,155.8699951,157,Pattern 10,B,No,NONE,NULL,0,0,0,NA,Yes,New,0,NULL,NULL,NULL,3793,72,1,300
00:00.0,WAINWRIGHT,W50P0R08,NULL,310,1,Yes,Yes,Yes,155.8699951,157,Pattern 10,B,No,NONE,NULL,1,0,0,NA,Yes,New,0,NULL,NULL,NULL,3770,72,1,300
00:00.0,WAINWRIGHT,W50P0R08,NULL,310,1,Yes,Yes,Yes,155.8699951,157,Pattern 10,B,No,NONE,NULL,1,0,0,NA,Yes,New,0,NULL,NULL,NULL,3770,72,1,300
00:00.0,WAINWRIGHT,W50P0R06,NULL,310,1,Yes,Yes,Yes,147.2400055,147.6399994,Pattern 10,B,No,PULLERS,NULL,0,1,0,NA,Yes,New,20,NULL,NULL,NULL,3153,72,1,600
